num_vertices,num_edges,compare_count
24000,200000,847272
24000,200000,846948
24000,200000,845767
24000,200000,846818
24000,200000,847144
24000,200000,846738
24000,200000,846889
24000,200000,846434
24000,200000,846463
25000,200000,879199
25000,200000,878585
25000,200000,878827
25000,200000,879427
25000,200000,879109
25000,200000,879242
25000,200000,879712
25000,200000,879343
25000,200000,879668
25000,200000,878967
26000,200000,912098
26000,200000,911317
26000,200000,911194
26000,200000,912015
26000,200000,911529
26000,200000,911803
26000,200000,911587
26000,200000,911315
26000,200000,911661
26000,200000,912093
27000,200000,943855
27000,200000,944495
27000,200000,944016
27000,200000,943963
27000,200000,944850
27000,200000,943959
27000,200000,943761
27000,200000,944842
27000,200000,943854
27000,200000,943631
28000,200000,976127
28000,200000,976752
28000,200000,976188
28000,200000,976580
28000,200000,976112
28000,200000,976603
28000,200000,976586
28000,200000,976022
28000,200000,975974
28000,200000,976471
29000,200000,1008314
29000,200000,1007732
29000,200000,1009028
29000,200000,1008877
29000,200000,1009164
29000,200000,1007461
29000,200000,1008498
29000,200000,1009478
29000,200000,1008663
29000,200000,1008473
30000,200000,1040628
30000,200000,1040289
30000,200000,1041422
30000,200000,1040815
30000,200000,1040999
30000,200000,1040970
30000,200000,1040701
30000,200000,1040662
30000,200000,1040586
30000,200000,1041112
31000,200000,1072661
31000,200000,1072557
31000,200000,1072976
31000,200000,1072722
31000,200000,1072783
31000,200000,1072322
31000,200000,1072617
31000,200000,1072195
31000,200000,1071942
31000,200000,1072748
32000,200000,1104483
32000,200000,1104455
32000,200000,1104471
32000,200000,1104551
32000,200000,1104164
32000,200000,1104134
32000,200000,1104329
32000,200000,1105002
32000,200000,1104136
32000,200000,1104782
33000,200000,1136640
33000,200000,1135591
33000,200000,1136168
33000,200000,1136074
33000,200000,1136236
33000,200000,1136517
33000,200000,1136424
33000,200000,1136287
33000,200000,1136220
33000,200000,1136811
34000,200000,1170273
34000,200000,1169626
34000,200000,1171087
34000,200000,1170436
34000,200000,1170766
34000,200000,1169596
34000,200000,1168871
34000,200000,1169733
34000,200000,1169951
34000,200000,1170411
35000,200000,1202909
35000,200000,1203476
35000,200000,1202496
35000,200000,1202584
35000,200000,1203799
35000,200000,1203327
35000,200000,1202933
35000,200000,1204237
35000,200000,1203342
35000,200000,1203747
36000,200000,1235963
36000,200000,1236463
36000,200000,1236262
36000,200000,1235609
36000,200000,1236226
36000,200000,1235441
36000,200000,1236403
36000,200000,1236496
36000,200000,1235741
36000,200000,1235573
37000,200000,1269476
37000,200000,1268804
