num_vertices,num_edges,time
1000,20000,1085100
1000,30000,1053500
1000,40000,1347300
1000,50000,3305200
1000,60000,1914200
1000,70000,2635300
1000,80000,3694500
1000,90000,7964800
1000,100000,7464100
1000,110000,10262600
1000,120000,7493500
1000,130000,5493400
1000,140000,6599900
1000,150000,4331300
1000,160000,4164200
1000,170000,4440500
1000,180000,25859100
1000,190000,7461500
1000,200000,7286100
1000,210000,6940600
1000,220000,7744100
1000,230000,7922300
1000,240000,17880200
1000,250000,13560800
1000,260000,9044200
1000,270000,12710500
1000,280000,12354700
1000,290000,22514800
1000,300000,23222200
1000,310000,23343700
1000,320000,32290300
1000,330000,57957500
1000,340000,15520400
1000,350000,42002000
1000,360000,63612400
1000,370000,20822200
1000,380000,21080500
1000,390000,46018800
1000,400000,53991900
1000,410000,55753700
1000,420000,40510400
1000,430000,37722100
1000,440000,72004200
1000,450000,36192700
1000,460000,26557800
1000,470000,57290900
1000,480000,73627400
1000,490000,81285000
1000,500000,55064200
1000,510000,70820200
1000,520000,61625000
1000,530000,65875800
1000,540000,101576800
1000,550000,77928900
1000,560000,94482700
1000,570000,81830800
1000,580000,87654800
1000,590000,96383500
1000,600000,78490900
1000,610000,102487300
1000,620000,85261600
1000,630000,88290500
1000,640000,96539400
1000,650000,98377500
1000,660000,94199800
1000,670000,104848300
1000,680000,98144100
1000,690000,98339100
1000,700000,117432500
1000,710000,140256300
1000,720000,131970800
1000,730000,113385700
1000,740000,113445000
1000,750000,134599300
1000,760000,142462200
1000,770000,150209600
1000,780000,140062800
1000,790000,136070800
1000,800000,116496700
1000,810000,124396700
1000,820000,138014100
1000,830000,149676400
1000,840000,164797800
1000,850000,121083500
1000,860000,148964100
1000,870000,148400700
1000,880000,142982800
1000,890000,150162600
1000,900000,140990700
1000,910000,143043300
1000,920000,129516200
1000,930000,142126800
1000,940000,170012200
1000,950000,164060000
1000,960000,190737200
1000,970000,210597900
1000,980000,162676400
1000,990000,186919000
1000,1000000,194415500
1000,10000,2410400
1000,20000,912000
1000,30000,889900
1000,40000,909400
1000,50000,1302400
1000,60000,4186100
1000,70000,1643000
1000,80000,2042900
1000,90000,2332800
1000,100000,2729200
1000,110000,3687600
1000,120000,7130500
1000,130000,9917400
1000,140000,10804400
1000,150000,4029400
1000,160000,4430600
1000,170000,6686700
1000,180000,5266100
1000,190000,6216200
1000,200000,8846900
1000,210000,7889600
1000,220000,21884900
1000,230000,22038400
1000,240000,23307100
1000,250000,20885400
1000,260000,20266100
1000,270000,28609400
1000,280000,18744800
1000,290000,24480200
1000,300000,11633100
1000,310000,21199300
1000,320000,14494200
1000,330000,15108800
1000,340000,26036300
1000,350000,19039900
1000,360000,20797100
1000,370000,19861800
1000,380000,19508100
1000,390000,37453100
1000,400000,25189900
1000,410000,42670400
1000,420000,23161000
1000,430000,41524200
1000,440000,41107200
1000,450000,45354400
1000,460000,47461900
1000,470000,49189500
1000,480000,77740400
1000,490000,77424700
1000,500000,84148700
1000,510000,74432800
1000,520000,55547900
1000,530000,52095600
1000,540000,86987500
1000,550000,55009900
1000,560000,105482000
1000,570000,98501700
1000,580000,94778600
1000,590000,106690600
1000,600000,79662100
1000,610000,45681100
1000,620000,115002100
1000,630000,98810400
1000,640000,127344900
1000,650000,125698800
1000,660000,118450500
1000,670000,119932100
1000,680000,123055000
1000,690000,112975300
1000,700000,92316100
1000,710000,113430800
1000,720000,142739300
1000,730000,130065000
1000,740000,142130600
1000,750000,144484900
1000,760000,133946400
1000,770000,125458500
1000,780000,108873900
1000,790000,148180400
1000,800000,164743200
1000,810000,113600600
1000,820000,175454300
1000,830000,172417200
1000,840000,170158000
1000,850000,167179600
1000,860000,128191200
1000,870000,187581800
1000,880000,122758900
1000,890000,268497900
1000,900000,188345800
1000,910000,193905500
1000,920000,216245500
1000,930000,269376100
1000,940000,173525500
1000,950000,188326700
1000,960000,179643500
1000,970000,223722100
1000,980000,201216200
1000,990000,160947000
1000,1000000,227837600
1000,10000,653700
1000,20000,721600
1000,30000,1275600
1000,40000,1972300
1000,50000,1873400
1000,60000,4393100
1000,70000,4049500
1000,80000,4046400
1000,90000,7715400
1000,100000,6365300
1000,110000,4742500
1000,120000,12369100
1000,130000,10506100
1000,140000,8098600
1000,150000,6743700
1000,160000,22079200
1000,170000,27561200
1000,180000,4861300
1000,190000,13210000
1000,200000,9801900
1000,210000,19710700
1000,220000,14269200
1000,230000,24532100
1000,240000,9640800
1000,250000,34756600
1000,260000,22919200
1000,270000,26572500
1000,280000,33109600
1000,290000,29273200
1000,300000,42274500
1000,310000,24105600
1000,320000,44431700
1000,330000,61543700
